input_id	dealiased_id	standard_id	short_id
doi:10.1186/s13059-018-1554-6	doi:10.1186/s13059-018-1554-6	doi:10.1186/s13059-018-1554-6	j7nehrZT
doi:10.1101/2022.01.31.478527	doi:10.1101/2022.01.31.478527	doi:10.1101/2022.01.31.478527	z9iHAA1E
